姓名                          性别                          学号                          高等数学                      课程设计                      总分                          
吴祷举                        女                            140010                        100                           98                            198                           
宓强进                        男                            140206                        79                            87                            166                           
汪桓矶                        男                            140207                        98                            68                            166                           
俞法复                        男                            140901                        68                            97                            165                           
雷留狄                        女                            140205                        84                            80                            164                           
邢端地                        女                            140310                        91                            65                            156                           
毕镔百                        男                            140105                        94                            60                            154                           
荣国宏                        男                            140101                        69                            80                            149                           
苏胞按                        男                            140307                        64                            84                            148                           
钱复阜                        男                            140103                        66                            82                            148                           
班慷刚                        男                            140110                        53                            81                            134                           
裴桓价                        男                            140005                        63                            65                            128                           
巴隆九                        男                            140401                        60                            43                            103                           
周桓环                        男                            140909                        19                            30                            49                            
